@relation 'adultset'

@attribute AGE numeric
@attribute WORKCLASS {Govt,SelfEmployed,Private,NoIncome}
@attribute EDUCATION numeric
@attribute MARITALSTATUS {Never,Married,Others}
@attribute OCCUPATION {Exec-managerial,Prof-speciality,Protective-serv,Adm-clerical,Tech-support,Sales,Craft-repair,Handlers-cleaners,Other-service,Transport-moving,Farming-fishing,Machine-op-inspct}
@attribute SEX {Male,Female}
@attribute HOURSPERWEEK numeric
@attribute INCOME {<=50K,>50K}

@data
40,Private,13,Others,Sales,Male,40,<=50K
40,SelfEmployed,9,Married,Sales,Female,50,>50K
50,Govt,14,Married,Tech-support,Male,40,>50K
25,Private,13,Never,Prof-speciality,Female,40,<=50K
30,Private,12,Married,Tech-support,Female,40,>50K
40,SelfEmployed,13,Married,Sales,Male,60,>50K
30,SelfEmployed,9,Married,Craft-repair,Male,40,<=50K
25,Private,8,Never,Transport-moving,Female,40,<=50K
20,Private,12,Never,Protective-serv,Male,40,<=50K
30,Private,8,Others,Craft-repair,Male,40,<=50K
70,SelfEmployed,13,Married,Machine-op-inspct,Male,30,<=50K
55,Private,9,Others,Handlers-cleaners,Male,40,<=50K
40,Private,10,Married,Sales,Male,50,<=50K
45,SelfEmployed,13,Married,Exec-managerial,Male,50,>50K
20,Private,8,Never,Adm-clerical,Male,40,<=50K
75,SelfEmployed,13,Married,Exec-managerial,Male,10,<=50K
40,Private,16,Married,Prof-speciality,Male,40,>50K
25,Private,9,Married,Craft-repair,Male,40,<=50K
75,Private,8,Married,Other-service,Male,10,<=50K
55,Private,9,Others,Adm-clerical,Female,40,<=50K
50,SelfEmployed,4,Married,Craft-repair,Male,40,<=50K
55,Private,10,Others,Sales,Female,50,<=50K
35,Private,9,Others,Craft-repair,Male,50,<=50K
75,Private,10,Married,Sales,Male,10,<=50K
25,Private,9,Never,Handlers-cleaners,Female,40,<=50K
20,Private,8,Never,Craft-repair,Male,20,<=50K
40,Private,9,Others,Exec-managerial,Male,50,<=50K
50,Private,13,Married,Transport-moving,Male,40,>50K
20,Private,10,Never,Craft-repair,Female,20,<=50K
30,Private,10,Married,Exec-managerial,Male,60,>50K
55,Private,13,Married,Sales,Male,40,>50K
20,Private,9,Never,Protective-serv,Male,40,<=50K
25,Private,10,Never,Adm-clerical,Female,40,<=50K
30,SelfEmployed,13,Others,Exec-managerial,Male,60,<=50K
60,Private,4,Others,Machine-op-inspct,Female,40,<=50K
50,Private,9,Others,Craft-repair,Female,50,<=50K
60,Private,4,Married,Transport-moving,Male,40,<=50K
55,SelfEmployed,9,Others,Craft-repair,Male,50,>50K
20,SelfEmployed,10,Never,Sales,Male,40,<=50K
60,SelfEmployed,15,Married,Sales,Male,20,<=50K
35,SelfEmployed,9,Never,Craft-repair,Male,40,>50K
30,Private,12,Married,Craft-repair,Male,50,>50K
40,Private,9,Others,Protective-serv,Male,30,<=50K
70,Private,10,Never,Adm-clerical,Female,10,<=50K
45,Private,13,Married,Adm-clerical,Male,40,>50K
45,Govt,9,Married,Prof-speciality,Male,40,<=50K
30,Private,10,Married,Transport-moving,Male,40,>50K
25,Private,8,Never,Handlers-cleaners,Male,40,<=50K
25,Private,8,Married,Other-service,Female,40,<=50K
50,Private,13,Married,Exec-managerial,Male,60,>50K
30,Private,9,Never,Other-service,Female,40,<=50K
35,Private,13,Married,Craft-repair,Male,40,<=50K
35,SelfEmployed,10,Married,Craft-repair,Male,60,>50K
55,Govt,14,Never,Exec-managerial,Female,40,<=50K
45,Private,12,Married,Craft-repair,Male,40,<=50K
50,Private,12,Others,Other-service,Female,30,<=50K
65,Private,4,Married,Machine-op-inspct,Male,40,<=50K
45,Private,12,Others,Machine-op-inspct,Male,40,<=50K
40,Govt,9,Others,Prof-speciality,Female,40,<=50K
35,Private,13,Never,Exec-managerial,Female,40,<=50K
45,SelfEmployed,13,Married,Exec-managerial,Male,30,<=50K
50,Govt,14,Never,Exec-managerial,Male,60,>50K
20,Private,10,Never,Other-service,Female,20,<=50K
20,Private,10,Never,Other-service,Female,20,<=50K
20,Govt,8,Never,Protective-serv,Male,40,<=50K
25,Private,10,Never,Sales,Male,40,<=50K
35,SelfEmployed,9,Married,Craft-repair,Male,50,<=50K
40,Private,10,Others,Adm-clerical,Female,40,<=50K
25,Private,9,Never,Adm-clerical,Male,40,<=50K
35,Private,10,Never,Sales,Male,60,<=50K
45,Private,9,Married,Machine-op-inspct,Male,50,>50K
25,Govt,9,Others,Exec-managerial,Female,40,<=50K
65,Private,12,Others,Adm-clerical,Female,10,<=50K
35,Private,10,Married,Adm-clerical,Male,40,>50K
25,Private,10,Others,Sales,Male,50,<=50K
55,Private,9,Others,Machine-op-inspct,Male,40,<=50K
20,Private,10,Never,Machine-op-inspct,Female,30,<=50K
35,Private,9,Others,Sales,Female,50,<=50K
25,Private,10,Married,Transport-moving,Male,70,>50K
25,Private,10,Never,Adm-clerical,Female,30,<=50K
60,Govt,12,Others,Adm-clerical,Female,40,<=50K
45,Private,16,Others,Prof-speciality,Female,40,<=50K
20,Private,10,Never,Other-service,Female,40,<=50K
40,Private,9,Married,Farming-fishing,Male,40,<=50K
50,Private,10,Married,Sales,Male,40,<=50K
25,Private,9,Never,Adm-clerical,Female,40,<=50K
35,Private,9,Married,Exec-managerial,Male,40,<=50K
25,Private,10,Never,Farming-fishing,Male,60,<=50K
55,Private,13,Married,Sales,Male,50,>50K
20,Govt,10,Never,Prof-speciality,Female,20,<=50K
60,Govt,16,Married,Prof-speciality,Male,40,<=50K
45,Private,10,Married,Adm-clerical,Female,10,<=50K
40,Private,12,Married,Adm-clerical,Female,20,>50K
40,Private,8,Never,Machine-op-inspct,Female,40,<=50K
45,Private,9,Others,Exec-managerial,Male,40,<=50K
55,Govt,9,Never,Adm-clerical,Female,20,<=50K
20,Private,10,Never,Sales,Male,30,<=50K
25,Private,9,Married,Adm-clerical,Male,40,<=50K
55,Private,9,Married,Craft-repair,Male,40,<=50K
25,Govt,14,Never,Prof-speciality,Male,10,<=50K
30,SelfEmployed,9,Never,Farming-fishing,Male,60,<=50K
55,SelfEmployed,10,Married,Exec-managerial,Male,50,>50K
55,SelfEmployed,9,Married,Craft-repair,Male,40,>50K
20,Private,10,Never,Handlers-cleaners,Female,30,<=50K
35,Private,8,Others,Craft-repair,Male,40,<=50K
55,Private,8,Others,Machine-op-inspct,Female,40,<=50K
35,Private,13,Married,Prof-speciality,Male,50,>50K
20,Private,8,Never,Sales,Female,40,<=50K
30,SelfEmployed,9,Married,Sales,Male,60,>50K
50,Private,9,Others,Adm-clerical,Female,50,<=50K
65,Private,14,Married,Handlers-cleaners,Male,40,>50K
45,Private,9,Married,Transport-moving,Male,20,<=50K
50,Private,9,Married,Transport-moving,Male,60,>50K
40,Private,4,Others,Machine-op-inspct,Female,40,<=50K
30,Private,8,Married,Craft-repair,Male,50,<=50K
40,Private,13,Married,Exec-managerial,Male,50,>50K
55,Private,4,Others,Craft-repair,Male,40,<=50K
50,Private,9,Others,Adm-clerical,Female,40,<=50K
25,Private,8,Never,Craft-repair,Female,30,<=50K
35,Private,13,Married,Prof-speciality,Male,40,<=50K
35,Private,10,Married,Exec-managerial,Male,50,>50K
45,Private,13,Married,Craft-repair,Male,40,>50K
50,Private,9,Others,Adm-clerical,Female,40,<=50K
35,Private,10,Others,Craft-repair,Male,40,<=50K
75,SelfEmployed,9,Never,Machine-op-inspct,Male,20,<=50K
40,Private,14,Never,Exec-managerial,Male,50,>50K
65,Private,9,Others,Machine-op-inspct,Male,10,<=50K
35,Private,12,Others,Handlers-cleaners,Female,20,<=50K
25,Private,8,Never,Craft-repair,Female,40,<=50K
35,Private,12,Others,Prof-speciality,Female,40,>50K
40,Private,9,Married,Transport-moving,Male,50,>50K
60,Private,12,Married,Adm-clerical,Male,30,>50K
30,Private,13,Never,Adm-clerical,Male,50,<=50K
55,Govt,9,Married,Transport-moving,Male,40,<=50K
45,Govt,12,Others,Tech-support,Female,40,<=50K
25,Private,9,Others,Exec-managerial,Female,40,>50K
20,Private,8,Never,Handlers-cleaners,Male,30,<=50K
30,Private,9,Married,Other-service,Male,40,<=50K
20,Private,10,Never,Exec-managerial,Male,50,<=50K
45,Private,13,Married,Exec-managerial,Male,50,>50K
25,Private,10,Never,Other-service,Female,40,<=50K
45,Govt,10,Married,Exec-managerial,Male,40,<=50K
20,Private,8,Never,Sales,Female,20,<=50K
25,Private,9,Married,Transport-moving,Male,30,<=50K
30,Govt,9,Married,Sales,Male,40,<=50K
20,Private,9,Never,Machine-op-inspct,Male,40,<=50K
40,Private,13,Married,Exec-managerial,Male,40,>50K
75,Private,15,Others,Adm-clerical,Female,20,<=50K
25,Private,4,Never,Transport-moving,Male,40,<=50K
25,Private,9,Never,Adm-clerical,Female,40,<=50K
30,Private,12,Married,Sales,Male,40,>50K
40,SelfEmployed,9,Married,Handlers-cleaners,Male,40,<=50K
40,Govt,9,Married,Transport-moving,Male,40,>50K
25,Private,14,Never,Sales,Male,20,<=50K
40,Private,9,Married,Craft-repair,Male,60,<=50K
25,Private,13,Never,Craft-repair,Female,40,<=50K
40,Private,12,Married,Craft-repair,Male,50,>50K
45,SelfEmployed,8,Married,Craft-repair,Male,70,<=50K
50,Govt,9,Married,Exec-managerial,Male,40,>50K
35,Private,12,Others,Craft-repair,Male,40,<=50K
30,Private,9,Never,Handlers-cleaners,Male,60,<=50K
55,Private,9,Married,Craft-repair,Male,40,<=50K
40,Govt,8,Never,Tech-support,Male,40,<=50K
30,Private,13,Married,Tech-support,Male,40,>50K
40,Private,10,Married,Handlers-cleaners,Female,20,<=50K
55,SelfEmployed,13,Married,Sales,Male,60,>50K
65,Private,8,Never,Handlers-cleaners,Male,30,<=50K
50,Govt,14,Married,Prof-speciality,Male,40,<=50K
20,Govt,10,Never,Adm-clerical,Female,10,<=50K
35,Private,13,Married,Exec-managerial,Female,40,>50K
50,SelfEmployed,12,Married,Transport-moving,Male,50,>50K
30,Private,4,Never,Machine-op-inspct,Female,40,<=50K
25,SelfEmployed,8,Married,Craft-repair,Male,40,<=50K
40,Govt,13,Others,Prof-speciality,Female,50,<=50K
25,SelfEmployed,10,Never,Adm-clerical,Female,40,<=50K
45,Private,12,Married,Craft-repair,Male,40,>50K
20,Private,9,Never,Other-service,Female,40,<=50K
45,Private,10,Married,Craft-repair,Male,40,<=50K
55,SelfEmployed,9,Others,Other-service,Female,20,<=50K
50,Private,4,Married,Sales,Male,50,<=50K
30,Private,10,Never,Adm-clerical,Female,50,<=50K
30,Private,9,Married,Adm-clerical,Female,40,<=50K
25,Private,9,Never,Adm-clerical,Female,40,<=50K
45,Private,14,Others,Exec-managerial,Male,50,<=50K
35,Private,13,Married,Prof-speciality,Male,40,>50K
20,Private,10,Never,Adm-clerical,Male,40,<=50K
35,Private,10,Married,Exec-managerial,Male,50,<=50K
25,Private,13,Never,Adm-clerical,Female,40,<=50K
20,Private,9,Never,Sales,Female,20,<=50K
30,Private,10,Others,Adm-clerical,Female,40,<=50K
50,Private,9,Married,Transport-moving,Male,50,<=50K
25,Govt,15,Married,Prof-speciality,Male,60,<=50K
50,Private,9,Married,Craft-repair,Male,40,>50K
40,Private,9,Married,Craft-repair,Male,40,<=50K
40,Private,9,Others,Machine-op-inspct,Female,40,<=50K
50,Govt,12,Others,Prof-speciality,Female,60,>50K
40,Private,13,Others,Exec-managerial,Female,40,>50K
70,Private,13,Married,Sales,Male,70,>50K
20,Private,9,Never,Handlers-cleaners,Male,40,<=50K
40,Private,4,Married,Other-service,Male,70,<=50K
35,SelfEmployed,10,Others,Other-service,Female,40,<=50K
50,Private,10,Others,Exec-managerial,Female,40,>50K
50,Private,9,Married,Handlers-cleaners,Male,40,>50K
45,Private,4,Never,Sales,Male,40,<=50K
40,Private,15,Never,Prof-speciality,Male,50,<=50K
20,NoIncome,8,Never,Exec-managerial,Male,40,<=50K
25,Private,4,Never,Other-service,Male,20,<=50K
35,Private,9,Married,Craft-repair,Male,40,<=50K
60,Private,10,Married,Protective-serv,Male,20,<=50K
35,Private,10,Never,Adm-clerical,Male,40,<=50K
30,Private,10,Never,Farming-fishing,Female,40,<=50K
65,Private,10,Others,Tech-support,Female,40,<=50K
25,Govt,13,Married,Prof-speciality,Male,30,<=50K
55,Private,10,Married,Prof-speciality,Male,40,<=50K
60,Govt,13,Others,Prof-speciality,Male,40,<=50K
35,Private,9,Married,Tech-support,Male,40,>50K
80,Govt,13,Married,Exec-managerial,Male,10,<=50K
25,Govt,10,Never,Adm-clerical,Female,40,<=50K
50,Private,9,Others,Prof-speciality,Male,40,<=50K
55,Govt,14,Married,Prof-speciality,Male,40,>50K
40,Private,13,Married,Transport-moving,Male,60,<=50K
20,Private,9,Never,Tech-support,Female,40,<=50K
60,Private,8,Married,Craft-repair,Male,40,<=50K
65,SelfEmployed,13,Married,Adm-clerical,Male,10,<=50K
45,Govt,9,Married,Other-service,Male,40,<=50K
25,Private,13,Never,Exec-managerial,Male,40,<=50K
25,Private,10,Married,Craft-repair,Male,70,<=50K
45,Private,9,Married,Transport-moving,Male,50,>50K
20,Private,10,Others,Other-service,Male,10,<=50K
50,Private,9,Married,Sales,Male,50,<=50K
50,SelfEmployed,9,Others,Farming-fishing,Male,40,<=50K
40,Govt,14,Others,Prof-speciality,Female,40,<=50K
55,SelfEmployed,8,Others,Sales,Male,40,<=50K
35,Private,9,Never,Adm-clerical,Female,40,<=50K
55,Govt,13,Married,Sales,Male,40,<=50K
20,Private,8,Never,Other-service,Male,20,<=50K
20,Private,10,Never,Other-service,Female,20,<=50K
40,Private,9,Others,Tech-support,Female,40,<=50K
25,Govt,9,Married,Handlers-cleaners,Male,50,<=50K
50,SelfEmployed,15,Married,Prof-speciality,Male,40,>50K
45,Private,9,Others,Sales,Female,30,<=50K
25,Private,9,Never,Adm-clerical,Female,40,<=50K
50,Private,10,Married,Tech-support,Male,40,>50K
20,Private,10,Never,Machine-op-inspct,Male,50,<=50K
20,Private,9,Never,Other-service,Male,40,<=50K
40,Private,10,Others,Exec-managerial,Female,40,>50K
25,Private,8,Never,Craft-repair,Male,30,<=50K
70,Private,12,Others,Adm-clerical,Female,40,<=50K
40,Govt,14,Married,Prof-speciality,Female,20,>50K
40,Private,13,Others,Sales,Male,40,<=50K
50,Private,13,Others,Exec-managerial,Male,50,<=50K
40,Private,9,Married,Sales,Male,50,>50K
40,Govt,10,Never,Adm-clerical,Female,30,<=50K
35,Private,10,Married,Sales,Male,50,>50K
20,Private,8,Never,Handlers-cleaners,Male,40,<=50K
25,Private,9,Never,Exec-managerial,Female,40,<=50K
45,Govt,13,Others,Prof-speciality,Female,50,>50K
30,Private,14,Never,Prof-speciality,Female,40,>50K
30,Govt,13,Never,Prof-speciality,Male,40,>50K
30,Private,9,Never,Adm-clerical,Female,40,<=50K
20,Private,10,Never,Other-service,Female,20,<=50K
20,Private,9,Never,Other-service,Male,30,<=50K
55,Private,9,Married,Handlers-cleaners,Female,20,<=50K
60,Private,15,Married,Prof-speciality,Male,30,>50K
25,Private,10,Never,Other-service,Male,50,<=50K
50,SelfEmployed,10,Others,Exec-managerial,Female,30,<=50K
30,Private,9,Married,Craft-repair,Male,40,>50K
25,Private,10,Never,Prof-speciality,Male,40,<=50K
35,Govt,9,Married,Protective-serv,Male,40,>50K
60,Private,9,Others,Sales,Female,40,<=50K
35,Private,10,Married,Adm-clerical,Female,40,>50K
40,Private,9,Never,Exec-managerial,Female,40,<=50K
40,Private,13,Married,Exec-managerial,Male,40,>50K
45,Govt,9,Married,Other-service,Male,40,<=50K
40,Private,9,Others,Other-service,Male,30,<=50K
30,Govt,9,Married,Adm-clerical,Male,40,<=50K
45,Private,10,Married,Sales,Male,40,>50K
35,Private,9,Married,Machine-op-inspct,Male,40,<=50K
55,Private,10,Others,Exec-managerial,Female,10,<=50K
45,Private,8,Married,Machine-op-inspct,Male,40,<=50K
30,Private,10,Married,Transport-moving,Male,50,<=50K
20,Private,8,Never,Machine-op-inspct,Female,10,<=50K
45,Private,12,Others,Sales,Male,50,<=50K
55,Private,9,Others,Protective-serv,Male,20,<=50K
55,SelfEmployed,4,Married,Exec-managerial,Male,50,>50K
45,Private,13,Married,Sales,Male,60,>50K
80,SelfEmployed,4,Married,Farming-fishing,Male,30,<=50K
25,Private,10,Never,Other-service,Female,40,<=50K
45,Govt,14,Married,Exec-managerial,Male,60,>50K
20,Private,9,Never,Handlers-cleaners,Male,40,<=50K
40,Private,10,Others,Exec-managerial,Male,40,<=50K
50,Private,9,Married,Exec-managerial,Male,50,>50K
55,SelfEmployed,9,Married,Farming-fishing,Male,20,<=50K
35,Private,8,Others,Handlers-cleaners,Male,70,<=50K
50,Private,9,Married,Craft-repair,Male,40,>50K
25,Govt,9,Never,Adm-clerical,Female,40,<=50K
20,Private,9,Never,Other-service,Female,40,<=50K
35,Private,10,Others,Adm-clerical,Female,30,<=50K
25,Private,9,Never,Craft-repair,Male,40,<=50K
40,Private,13,Married,Transport-moving,Male,50,>50K
25,Private,9,Others,Sales,Female,40,<=50K
20,Govt,10,Never,Protective-serv,Male,40,<=50K
30,Govt,10,Others,Adm-clerical,Female,40,<=50K
40,Private,13,Others,Exec-managerial,Female,50,<=50K
20,Private,10,Never,Other-service,Male,30,<=50K
30,Private,9,Never,Other-service,Male,40,<=50K
55,Private,13,Married,Tech-support,Male,20,>50K
50,Govt,16,Married,Prof-speciality,Male,60,>50K
25,Private,13,Never,Sales,Male,40,<=50K
25,SelfEmployed,9,Others,Transport-moving,Male,70,<=50K
35,Private,9,Others,Adm-clerical,Female,40,<=50K
40,Private,9,Others,Other-service,Male,60,<=50K
60,Private,10,Married,Prof-speciality,Male,30,<=50K
60,Private,10,Married,Sales,Male,40,>50K
30,Private,9,Never,Sales,Female,40,<=50K
45,Govt,14,Others,Protective-serv,Male,60,>50K
60,Private,4,Never,Handlers-cleaners,Male,40,<=50K
55,Private,12,Others,Adm-clerical,Female,30,<=50K
30,Private,10,Married,Sales,Male,50,<=50K
20,Private,10,Never,Sales,Female,50,<=50K
25,Govt,14,Never,Prof-speciality,Female,50,<=50K
45,SelfEmployed,10,Others,Machine-op-inspct,Male,60,<=50K
65,Private,10,Others,Adm-clerical,Female,40,<=50K
55,Private,9,Others,Adm-clerical,Female,40,<=50K
35,Private,9,Others,Craft-repair,Male,50,<=50K
60,Private,9,Others,Sales,Female,30,<=50K
30,Private,13,Married,Prof-speciality,Male,40,<=50K
35,Private,9,Others,Machine-op-inspct,Female,40,<=50K
45,SelfEmployed,15,Married,Prof-speciality,Male,60,>50K
25,Private,13,Never,Adm-clerical,Male,40,<=50K
35,Private,8,Never,Other-service,Male,40,<=50K
35,Private,13,Married,Prof-speciality,Male,40,<=50K
45,Private,13,Married,Prof-speciality,Male,40,>50K
20,Private,8,Never,Other-service,Female,20,<=50K
35,Private,10,Married,Prof-speciality,Male,60,<=50K
35,Private,14,Never,Prof-speciality,Male,20,<=50K
25,Private,12,Married,Adm-clerical,Female,40,<=50K
20,Private,8,Never,Sales,Male,10,<=50K
45,Govt,14,Others,Prof-speciality,Male,40,<=50K
45,Private,9,Others,Other-service,Female,30,<=50K
40,Private,9,Others,Other-service,Female,30,<=50K
30,Private,13,Never,Adm-clerical,Female,40,<=50K
55,SelfEmployed,10,Married,Farming-fishing,Male,50,<=50K
55,Private,9,Others,Other-service,Female,20,<=50K
40,Private,9,Married,Sales,Female,20,<=50K
25,Private,10,Never,Adm-clerical,Male,20,<=50K
25,Private,13,Never,Sales,Male,40,<=50K
50,Private,4,Married,Transport-moving,Male,40,<=50K
35,Private,8,Married,Craft-repair,Male,50,<=50K
40,Private,4,Married,Machine-op-inspct,Male,40,>50K
40,Private,14,Never,Prof-speciality,Female,40,<=50K
30,Private,9,Never,Other-service,Female,40,<=50K
30,Govt,13,Married,Exec-managerial,Male,40,<=50K
20,Private,10,Never,Machine-op-inspct,Male,50,<=50K
20,Private,8,Others,Craft-repair,Male,40,<=50K
20,Govt,8,Never,Prof-speciality,Male,30,<=50K
40,Private,13,Married,Prof-speciality,Male,30,<=50K
40,Private,9,Married,Exec-managerial,Female,50,<=50K
35,Govt,9,Married,Craft-repair,Male,40,<=50K
25,Private,10,Never,Machine-op-inspct,Male,40,<=50K
55,SelfEmployed,13,Married,Exec-managerial,Male,40,>50K
35,Private,14,Married,Prof-speciality,Male,60,>50K
65,Govt,9,Married,Exec-managerial,Male,50,<=50K
40,Private,10,Married,Exec-managerial,Male,50,<=50K
55,SelfEmployed,10,Married,Sales,Male,60,>50K
60,SelfEmployed,15,Married,Prof-speciality,Male,50,>50K
30,Private,13,Never,Adm-clerical,Female,40,<=50K
20,Private,8,Never,Sales,Female,20,<=50K
40,Private,9,Others,Craft-repair,Male,40,<=50K
70,SelfEmployed,10,Married,Other-service,Female,10,<=50K
30,Private,8,Others,Sales,Female,40,<=50K
40,Private,8,Married,Craft-repair,Male,40,<=50K
45,Private,15,Never,Prof-speciality,Male,40,>50K
45,Govt,15,Others,Prof-speciality,Female,40,<=50K
35,Govt,13,Married,Adm-clerical,Male,40,<=50K
40,Govt,10,Married,Other-service,Male,40,>50K
35,SelfEmployed,9,Married,Sales,Male,60,>50K
50,Private,10,Married,Sales,Male,40,>50K
50,Private,13,Married,Prof-speciality,Male,50,<=50K
25,Govt,9,Never,Other-service,Female,40,<=50K
35,Private,10,Married,Exec-managerial,Male,60,>50K
20,Private,10,Never,Other-service,Female,40,<=50K
35,Private,12,Married,Farming-fishing,Male,40,<=50K
20,Govt,10,Never,Prof-speciality,Female,20,<=50K
55,SelfEmployed,9,Married,Sales,Female,30,<=50K
30,Private,9,Others,Sales,Female,40,<=50K
25,Private,10,Never,Prof-speciality,Male,40,<=50K
35,Private,12,Never,Other-service,Female,40,<=50K
45,Govt,9,Married,Exec-managerial,Male,40,<=50K
30,SelfEmployed,8,Others,Machine-op-inspct,Female,60,<=50K
20,Private,8,Never,Sales,Male,40,<=50K
40,SelfEmployed,15,Never,Prof-speciality,Male,40,>50K
45,Private,14,Married,Sales,Male,40,>50K
45,Private,4,Never,Machine-op-inspct,Female,40,<=50K
25,Private,8,Never,Handlers-cleaners,Male,40,<=50K
35,Private,13,Married,Prof-speciality,Male,50,<=50K
30,Private,10,Married,Sales,Female,20,<=50K
30,Private,9,Others,Machine-op-inspct,Male,40,<=50K
30,Private,10,Married,Handlers-cleaners,Male,40,<=50K
55,SelfEmployed,4,Others,Other-service,Female,40,<=50K
25,SelfEmployed,13,Never,Prof-speciality,Male,30,<=50K
30,Private,9,Never,Handlers-cleaners,Male,40,<=50K
45,SelfEmployed,8,Married,Craft-repair,Male,40,<=50K
45,Govt,9,Married,Protective-serv,Male,60,>50K
45,SelfEmployed,13,Married,Craft-repair,Male,40,<=50K
40,Govt,14,Others,Prof-speciality,Female,30,<=50K
40,Govt,12,Married,Adm-clerical,Female,30,>50K
30,Private,9,Never,Protective-serv,Male,40,<=50K
25,Private,4,Never,Craft-repair,Male,40,<=50K
55,Private,8,Married,Craft-repair,Male,40,<=50K
30,Private,4,Married,Handlers-cleaners,Male,40,<=50K
20,Private,8,Never,Other-service,Male,40,<=50K
30,Private,9,Never,Handlers-cleaners,Male,40,<=50K
30,Private,10,Others,Adm-clerical,Female,40,<=50K
55,Private,13,Married,Exec-managerial,Male,40,<=50K
45,Private,14,Others,Exec-managerial,Female,50,>50K
70,Private,4,Others,Craft-repair,Male,10,<=50K
65,SelfEmployed,9,Others,Prof-speciality,Female,40,<=50K
40,Private,9,Married,Craft-repair,Male,50,>50K
20,Govt,9,Married,Sales,Female,40,<=50K
35,Govt,13,Others,Prof-speciality,Female,40,<=50K
35,Private,9,Married,Adm-clerical,Male,40,<=50K
40,Private,9,Others,Other-service,Female,40,<=50K
80,Private,10,Others,Adm-clerical,Female,40,<=50K
55,Private,15,Married,Exec-managerial,Male,20,<=50K
20,Private,9,Never,Prof-speciality,Female,40,<=50K
50,Private,13,Married,Exec-managerial,Male,40,>50K
45,Private,10,Others,Adm-clerical,Female,30,<=50K
45,Private,9,Married,Machine-op-inspct,Male,40,>50K
65,Private,8,Others,Other-service,Female,30,<=50K
30,Govt,14,Never,Prof-speciality,Male,40,<=50K
20,Private,9,Others,Tech-support,Female,30,<=50K
45,Private,9,Married,Transport-moving,Male,50,>50K
65,SelfEmployed,13,Married,Exec-managerial,Male,70,>50K
45,Private,9,Married,Handlers-cleaners,Male,40,<=50K
40,Private,10,Married,Sales,Male,40,<=50K
30,Private,10,Married,Other-service,Male,50,<=50K
55,Private,8,Others,Other-service,Female,40,<=50K
80,Private,8,Others,Handlers-cleaners,Female,10,<=50K
35,Govt,9,Others,Adm-clerical,Female,40,<=50K
20,Private,8,Never,Other-service,Female,10,<=50K
55,SelfEmployed,15,Married,Exec-managerial,Male,50,>50K
30,Private,9,Never,Handlers-cleaners,Male,30,<=50K
25,Private,10,Never,Sales,Female,40,<=50K
40,Private,9,Others,Adm-clerical,Female,40,<=50K
30,Govt,14,Never,Adm-clerical,Female,40,<=50K
25,Private,8,Never,Machine-op-inspct,Female,40,<=50K
25,Private,14,Married,Sales,Female,40,<=50K
40,Private,10,Others,Sales,Female,40,<=50K
30,Private,9,Married,Tech-support,Male,40,>50K
35,Private,13,Married,Exec-managerial,Male,50,<=50K
40,Private,9,Married,Sales,Male,60,>50K
65,SelfEmployed,9,Married,Farming-fishing,Male,70,<=50K
25,Private,4,Never,Craft-repair,Male,40,<=50K
55,Private,9,Others,Craft-repair,Male,40,<=50K
40,SelfEmployed,12,Married,Exec-managerial,Male,60,<=50K
40,Private,9,Never,Craft-repair,Male,40,<=50K
50,Private,12,Married,Sales,Female,40,>50K
35,Private,9,Others,Craft-repair,Male,40,<=50K
50,Private,9,Others,Machine-op-inspct,Female,30,<=50K
30,Private,13,Never,Adm-clerical,Female,40,<=50K
35,Private,8,Married,Transport-moving,Male,70,<=50K
20,Private,10,Never,Other-service,Female,10,<=50K
45,SelfEmployed,9,Never,Craft-repair,Male,30,<=50K
30,Private,12,Never,Machine-op-inspct,Female,10,<=50K
30,SelfEmployed,15,Never,Prof-speciality,Male,50,>50K
25,Private,13,Never,Machine-op-inspct,Male,20,<=50K
50,Govt,10,Married,Adm-clerical,Male,50,<=50K
35,Private,10,Never,Other-service,Male,40,<=50K
20,Private,9,Never,Other-service,Male,40,<=50K
45,Private,8,Married,Machine-op-inspct,Female,40,<=50K
35,SelfEmployed,10,Married,Farming-fishing,Male,40,<=50K
25,Private,9,Never,Sales,Female,30,<=50K
75,Private,10,Married,Exec-managerial,Male,30,>50K
25,Private,9,Married,Craft-repair,Male,40,<=50K
30,Govt,13,Never,Tech-support,Male,20,<=50K
20,Govt,8,Never,Other-service,Female,20,<=50K
30,Private,9,Never,Craft-repair,Male,40,<=50K
30,Private,4,Never,Other-service,Female,30,<=50K
20,Private,9,Never,Other-service,Male,10,<=50K
45,Private,13,Married,Prof-speciality,Male,50,>50K
30,Private,9,Never,Craft-repair,Male,40,<=50K
25,Private,13,Married,Prof-speciality,Male,40,>50K
50,Private,10,Others,Exec-managerial,Female,40,<=50K
20,Private,9,Married,Tech-support,Female,20,<=50K
35,Private,13,Married,Protective-serv,Male,30,<=50K
25,Private,9,Never,Machine-op-inspct,Female,40,<=50K
55,Private,10,Married,Prof-speciality,Male,40,<=50K
60,Private,13,Married,Exec-managerial,Male,30,>50K
50,Govt,14,Others,Prof-speciality,Female,50,<=50K
40,Private,10,Others,Exec-managerial,Female,40,<=50K
50,SelfEmployed,8,Married,Farming-fishing,Male,70,<=50K
25,Private,13,Never,Prof-speciality,Male,50,<=50K
70,Private,4,Others,Farming-fishing,Male,10,<=50K
40,Private,12,Married,Prof-speciality,Male,40,>50K
35,SelfEmployed,9,Never,Farming-fishing,Male,70,<=50K
