NUMBER,AGE,WORKCLASS,EDUCATION_NUM,MARITAL_STATUS,OCCUPATION,SEX,HOURS_PER_WEEK,INCOME,CLUSTER
12267,30,Private,12,Never,Adm-clerical,Female,40,<=50K,cluster1
12268,25,SelfEmployed,13,Never,Farming-fishing,Male,40,<=50K,cluster1
12269,35,Private,13,Others,Prof-speciality,Male,30,<=50K,cluster1
12270,30,Private,13,Never,Adm-clerical,Female,50,<=50K,cluster1
12271,30,Private,14,Never,Sales,Male,60,<=50K,cluster1
12272,25,Private,13,Never,Craft-repair,Male,40,<=50K,cluster1
12273,45,Govt,14,Never,Prof-speciality,Female,40,<=50K,cluster1
12274,25,Private,13,Never,Sales,Male,50,<=50K,cluster1
12275,40,Private,12,Never,Tech-support,Male,40,<=50K,cluster1
12276,20,Private,12,Never,Handlers-cleaners,Male,40,<=50K,cluster1
12277,35,Private,14,Never,Exec-managerial,Male,40,<=50K,cluster1
12278,25,Private,13,Married,Exec-managerial,Male,50,<=50K,cluster1
12279,45,Private,14,Never,Prof-speciality,Female,30,<=50K,cluster1
12280,25,Private,13,Never,Adm-clerical,Female,40,<=50K,cluster1
12281,25,SelfEmployed,13,Never,Exec-managerial,Male,30,<=50K,cluster1
12282,30,Govt,13,Never,Prof-speciality,Female,40,<=50K,cluster1
12283,30,Private,13,Married,Exec-managerial,Male,40,<=50K,cluster1
12284,40,SelfEmployed,13,Never,Craft-repair,Female,20,<=50K,cluster1
12285,25,Private,13,Never,Other-service,Male,40,<=50K,cluster1
12286,20,Private,12,Never,Tech-support,Female,20,<=50K,cluster1
12287,30,SelfEmployed,14,Never,Prof-speciality,Male,40,<=50K,cluster1
12288,35,Private,12,Never,Tech-support,Male,40,>50K,cluster1
12289,20,Private,12,Never,Sales,Female,30,<=50K,cluster1
12290,25,Private,13,Never,Exec-managerial,Male,40,<=50K,cluster1
12291,30,Private,12,Never,Tech-support,Female,40,<=50K,cluster1
12292,25,Private,12,Married,Adm-clerical,Female,40,<=50K,cluster1
12293,25,Private,12,Never,Handlers-cleaners,Male,30,<=50K,cluster1
12294,25,Govt,13,Never,Exec-managerial,Male,40,<=50K,cluster1
12295,25,Private,12,Never,Other-service,Female,20,<=50K,cluster1
12296,25,Private,12,Never,Adm-clerical,Female,30,<=50K,cluster1
12297,30,Private,12,Married,Exec-managerial,Female,40,<=50K,cluster1
12298,35,Private,13,Never,Exec-managerial,Male,40,<=50K,cluster1
12299,30,Private,13,Never,Prof-speciality,Female,40,<=50K,cluster1
12300,25,Private,12,Married,Adm-clerical,Female,40,<=50K,cluster1
12301,25,Govt,13,Never,Other-service,Female,50,<=50K,cluster1
12302,30,Govt,13,Never,Prof-speciality,Female,40,<=50K,cluster1
12303,30,Private,13,Never,Sales,Male,40,>50K,cluster1
12304,25,Private,13,Never,Exec-managerial,Female,40,<=50K,cluster1
12305,25,Govt,13,Never,Prof-speciality,Female,50,<=50K,cluster1
12306,25,Private,13,Never,Prof-speciality,Male,50,<=50K,cluster1
12307,25,Govt,13,Never,Tech-support,Male,10,<=50K,cluster1
12308,35,Private,13,Married,Prof-speciality,Female,40,<=50K,cluster1
12309,25,Private,13,Married,Prof-speciality,Male,40,<=50K,cluster1
12310,20,Private,12,Never,Handlers-cleaners,Male,40,>50K,cluster1
12311,35,Private,13,Never,Exec-managerial,Male,40,>50K,cluster1
12312,25,Private,13,Never,Exec-managerial,Female,40,<=50K,cluster1
12313,25,Private,13,Never,Prof-speciality,Female,40,<=50K,cluster1
12314,35,Private,13,Others,Exec-managerial,Female,40,<=50K,cluster1
12315,30,Private,13,Never,Other-service,Female,40,<=50K,cluster1
12316,25,Private,12,Never,Handlers-cleaners,Male,40,<=50K,cluster1
12317,25,Private,13,Never,Adm-clerical,Female,30,<=50K,cluster1
12318,25,Private,13,Others,Prof-speciality,Female,50,<=50K,cluster1
12319,25,Private,13,Never,Prof-speciality,Male,40,<=50K,cluster1
12320,25,Private,15,Never,Prof-speciality,Female,40,<=50K,cluster1
12321,25,Private,12,Married,Sales,Female,20,<=50K,cluster1
12322,40,Govt,13,Never,Protective-serv,Female,40,>50K,cluster1
12323,25,Private,12,Never,Craft-repair,Male,40,<=50K,cluster1
12324,35,Private,13,Others,Exec-managerial,Male,40,<=50K,cluster1
12325,25,Private,12,Never,Machine-op-inspct,Male,40,<=50K,cluster1
12326,35,Private,13,Never,Prof-speciality,Female,40,<=50K,cluster1
12327,25,Private,13,Never,Tech-support,Female,40,<=50K,cluster1
12328,35,Private,14,Never,Prof-speciality,Female,30,<=50K,cluster1
12329,20,Private,12,Never,Sales,Female,40,<=50K,cluster1
12330,25,Private,12,Never,Machine-op-inspct,Male,40,<=50K,cluster1
12331,25,Private,13,Never,Adm-clerical,Female,40,<=50K,cluster1
12332,25,Private,15,Never,Prof-speciality,Female,40,<=50K,cluster1
12333,30,Private,13,Never,Prof-speciality,Female,40,<=50K,cluster1
12334,40,Govt,14,Never,Prof-speciality,Female,50,<=50K,cluster1
12335,30,Private,14,Never,Prof-speciality,Male,30,<=50K,cluster1
12336,25,Private,13,Never,Farming-fishing,Male,40,<=50K,cluster1
12337,35,Private,12,Others,Tech-support,Male,30,<=50K,cluster1
12338,30,Private,12,Never,Prof-speciality,Female,40,<=50K,cluster1
12339,35,Private,13,Others,Prof-speciality,Female,30,<=50K,cluster1
12340,40,Private,13,Never,Sales,Female,40,>50K,cluster1
12341,35,Private,13,Married,Other-service,Male,40,<=50K,cluster1
12342,35,Private,12,Never,Adm-clerical,Female,40,<=50K,cluster1
12343,35,Private,12,Never,Tech-support,Female,40,<=50K,cluster1
12344,25,Private,13,Never,Exec-managerial,Male,50,<=50K,cluster1
12345,25,Private,13,Married,Sales,Male,30,<=50K,cluster1
12346,25,Private,13,Never,Exec-managerial,Male,40,<=50K,cluster1
12347,25,Private,13,Never,Tech-support,Female,40,<=50K,cluster1
12348,40,Govt,13,Never,Prof-speciality,Female,40,<=50K,cluster1
12349,30,Govt,14,Married,Exec-managerial,Female,40,<=50K,cluster1
12350,35,Private,13,Never,Craft-repair,Male,60,<=50K,cluster1
12351,35,Private,13,Married,Exec-managerial,Male,30,<=50K,cluster1
12352,25,Private,12,Never,Sales,Female,70,<=50K,cluster1
12353,40,Private,13,Never,Prof-speciality,Female,40,<=50K,cluster1
12354,40,Private,13,Married,Prof-speciality,Female,30,<=50K,cluster1
12355,25,Govt,13,Never,Adm-clerical,Male,40,<=50K,cluster1
12356,30,Private,14,Never,Prof-speciality,Male,40,<=50K,cluster1
12357,25,Govt,14,Never,Prof-speciality,Female,40,<=50K,cluster1
12358,35,Private,13,Never,Exec-managerial,Male,50,<=50K,cluster1
12359,35,Private,13,Never,Exec-managerial,Female,40,<=50K,cluster1
12360,25,Private,14,Never,Tech-support,Male,20,<=50K,cluster1
12361,25,Private,12,Never,Prof-speciality,Female,40,<=50K,cluster1
12362,25,Private,13,Married,Sales,Male,50,<=50K,cluster1
12363,25,Govt,13,Never,Prof-speciality,Female,50,<=50K,cluster1
12364,35,Govt,14,Others,Prof-speciality,Female,40,<=50K,cluster1
12365,35,Govt,13,Married,Prof-speciality,Female,40,<=50K,cluster1
12366,30,Private,14,Never,Prof-speciality,Male,50,<=50K,cluster1
12367,25,Private,13,Never,Sales,Male,20,<=50K,cluster1
12368,25,SelfEmployed,12,Never,Prof-speciality,Male,30,<=50K,cluster1
12369,25,Govt,12,Never,Adm-clerical,Female,20,<=50K,cluster1
12370,30,Govt,14,Never,Prof-speciality,Female,30,<=50K,cluster1
12371,35,Private,13,Married,Sales,Male,40,<=50K,cluster1
12372,35,Private,12,Others,Prof-speciality,Male,40,<=50K,cluster1
12373,25,Private,13,Never,Prof-speciality,Male,40,<=50K,cluster1
12374,30,Private,13,Never,Exec-managerial,Female,40,<=50K,cluster1
12375,30,Private,13,Never,Other-service,Female,50,<=50K,cluster1
12376,25,Private,13,Never,Prof-speciality,Female,20,<=50K,cluster1
12377,25,Private,13,Married,Prof-speciality,Male,40,<=50K,cluster1
12378,35,Private,13,Never,Tech-support,Female,40,<=50K,cluster1
12379,25,Private,13,Never,Adm-clerical,Female,40,>50K,cluster1
12380,30,Private,14,Married,Prof-speciality,Male,10,<=50K,cluster1
12381,25,Private,13,Married,Tech-support,Male,30,<=50K,cluster1
12382,30,Private,13,Never,Sales,Female,30,>50K,cluster1
12383,30,Private,13,Married,Exec-managerial,Male,40,<=50K,cluster1
12384,30,Private,12,Never,Sales,Male,20,<=50K,cluster1
12385,25,Private,13,Never,Other-service,Male,30,<=50K,cluster1
12386,25,Private,12,Never,Handlers-cleaners,Male,50,<=50K,cluster1
12387,25,Private,13,Married,Adm-clerical,Female,40,<=50K,cluster1
12388,45,Govt,14,Never,Prof-speciality,Female,40,<=50K,cluster1
12389,30,Private,13,Others,Tech-support,Female,40,<=50K,cluster1
12390,20,Private,13,Never,Exec-managerial,Male,40,<=50K,cluster1
12391,25,Private,13,Never,Exec-managerial,Female,40,<=50K,cluster1
12392,30,Private,13,Married,Prof-speciality,Male,50,<=50K,cluster1
12393,25,Private,13,Never,Adm-clerical,Male,40,<=50K,cluster1
12394,25,SelfEmployed,12,Never,Other-service,Female,40,<=50K,cluster1
12395,25,Private,14,Never,Tech-support,Male,40,<=50K,cluster1
12396,35,Private,13,Never,Other-service,Male,40,<=50K,cluster1
12397,35,Govt,13,Never,Prof-speciality,Male,40,<=50K,cluster1
12398,20,Private,12,Never,Handlers-cleaners,Male,20,<=50K,cluster1
12399,35,Private,13,Never,Other-service,Female,40,<=50K,cluster1
12400,25,Govt,13,Never,Transport-moving,Male,30,<=50K,cluster1
12401,25,Govt,13,Never,Prof-speciality,Male,40,<=50K,cluster1
12402,25,Govt,13,Never,Prof-speciality,Male,50,<=50K,cluster1
12403,30,Private,14,Never,Prof-speciality,Male,40,<=50K,cluster1
12404,30,Private,13,Never,Exec-managerial,Female,50,<=50K,cluster1
12405,40,Private,14,Never,Exec-managerial,Male,40,<=50K,cluster1
12406,25,Private,13,Never,Exec-managerial,Male,40,<=50K,cluster1
12407,20,Private,13,Never,Sales,Female,40,<=50K,cluster1
12408,25,Private,13,Never,Exec-managerial,Female,60,<=50K,cluster1
12409,25,Private,13,Never,Sales,Male,40,<=50K,cluster1
12410,25,Private,12,Never,Adm-clerical,Female,10,<=50K,cluster1
12411,25,Private,13,Married,Prof-speciality,Male,40,<=50K,cluster1
12412,25,Private,13,Never,Exec-managerial,Female,60,<=50K,cluster1
12413,30,Private,13,Never,Prof-speciality,Male,40,<=50K,cluster1
12414,25,Private,13,Never,Tech-support,Male,40,<=50K,cluster1
12415,25,Private,12,Married,Other-service,Female,40,<=50K,cluster1
12416,30,Private,12,Married,Tech-support,Male,40,<=50K,cluster1
12417,25,Private,13,Never,Machine-op-inspct,Male,40,<=50K,cluster1
12418,30,Private,13,Never,Sales,Female,50,<=50K,cluster1
12419,30,Govt,13,Never,Tech-support,Female,40,<=50K,cluster1
12420,30,Govt,13,Others,Prof-speciality,Male,40,<=50K,cluster1
12421,25,Govt,13,Never,Adm-clerical,Male,40,<=50K,cluster1
12422,25,Private,13,Never,Sales,Male,40,<=50K,cluster1
12423,25,Private,13,Married,Exec-managerial,Male,40,<=50K,cluster1
12424,25,Govt,13,Never,Adm-clerical,Female,50,<=50K,cluster1
12425,25,Private,13,Never,Prof-speciality,Female,40,<=50K,cluster1
12426,25,Govt,13,Never,Prof-speciality,Male,40,<=50K,cluster1
12427,25,Private,13,Never,Other-service,Male,40,<=50K,cluster1
12428,25,Private,13,Never,Prof-speciality,Female,30,<=50K,cluster1
12429,30,Govt,14,Never,Prof-speciality,Male,10,<=50K,cluster1
12430,25,Private,12,Never,Adm-clerical,Female,40,<=50K,cluster1
12431,25,Govt,13,Never,Prof-speciality,Female,40,<=50K,cluster1
12432,20,Private,13,Never,Adm-clerical,Male,20,<=50K,cluster1
12433,30,Govt,14,Never,Adm-clerical,Female,40,<=50K,cluster1
12434,25,Private,13,Never,Exec-managerial,Female,40,<=50K,cluster1
12435,25,Private,13,Married,Sales,Male,40,<=50K,cluster1
12436,35,Private,13,Never,Sales,Female,50,<=50K,cluster1
12437,35,Private,13,Never,Transport-moving,Male,50,<=50K,cluster1
12438,25,Govt,13,Never,Prof-speciality,Male,60,<=50K,cluster1
12439,25,Private,13,Never,Adm-clerical,Female,40,<=50K,cluster1
12440,30,Private,14,Never,Sales,Male,40,<=50K,cluster1
12441,30,Private,12,Never,Prof-speciality,Female,40,<=50K,cluster1
12442,25,Govt,13,Never,Prof-speciality,Male,50,<=50K,cluster1
12443,30,Private,13,Married,Sales,Male,50,<=50K,cluster1
12444,30,Govt,14,Never,Prof-speciality,Female,40,<=50K,cluster1
12445,35,Private,13,Never,Exec-managerial,Male,40,<=50K,cluster1
12446,25,Private,12,Never,Prof-speciality,Male,50,<=50K,cluster1
12447,35,Govt,14,Never,Prof-speciality,Male,30,<=50K,cluster1
12448,25,Private,12,Never,Craft-repair,Male,40,<=50K,cluster1
12449,35,Private,13,Others,Sales,Female,40,<=50K,cluster1
12450,40,Private,14,Never,Prof-speciality,Male,40,<=50K,cluster1
12451,30,Private,12,Never,Prof-speciality,Male,40,<=50K,cluster1
12452,30,Private,12,Never,Craft-repair,Male,40,<=50K,cluster1
12453,25,Govt,12,Never,Craft-repair,Male,50,<=50K,cluster1
12454,20,Private,12,Never,Adm-clerical,Female,40,<=50K,cluster1
12455,25,Private,13,Never,Exec-managerial,Female,50,<=50K,cluster1
12456,30,Govt,13,Never,Exec-managerial,Male,40,<=50K,cluster1
12457,45,Private,13,Never,Prof-speciality,Female,40,<=50K,cluster1
12458,25,Private,13,Never,Sales,Female,40,<=50K,cluster1
12459,25,Private,13,Never,Sales,Female,40,<=50K,cluster1
12460,25,Private,12,Never,Sales,Male,20,<=50K,cluster1
12461,30,Private,13,Others,Exec-managerial,Female,40,<=50K,cluster1
12462,35,Govt,13,Never,Prof-speciality,Male,40,<=50K,cluster1
12463,25,Private,13,Never,Prof-speciality,Female,40,<=50K,cluster1
12464,40,Private,13,Never,Sales,Male,40,<=50K,cluster1
12465,25,Private,13,Never,Sales,Male,40,<=50K,cluster1
12466,25,Private,12,Never,Craft-repair,Male,30,<=50K,cluster1
12467,25,Private,13,Married,Prof-speciality,Male,60,<=50K,cluster1
12468,25,Private,13,Never,Adm-clerical,Female,50,<=50K,cluster1
12469,30,Private,13,Married,Sales,Male,20,<=50K,cluster1
12470,30,SelfEmployed,13,Never,Prof-speciality,Female,60,<=50K,cluster1
12471,25,Private,12,Never,Machine-op-inspct,Male,40,<=50K,cluster1
12472,30,Govt,13,Others,Prof-speciality,Female,30,<=50K,cluster1
12473,30,Private,14,Never,Adm-clerical,Female,40,<=50K,cluster1
12474,25,Private,13,Never,Adm-clerical,Male,40,<=50K,cluster1
12475,30,Private,13,Others,Prof-speciality,Male,60,<=50K,cluster1
12476,25,Govt,13,Never,Exec-managerial,Female,40,<=50K,cluster1
12477,25,Private,13,Never,Other-service,Female,30,<=50K,cluster1
12478,25,Private,13,Never,Adm-clerical,Female,40,<=50K,cluster1
12479,30,Private,14,Never,Exec-managerial,Male,60,<=50K,cluster1
12480,40,Private,13,Never,Tech-support,Female,40,<=50K,cluster1
12481,30,Govt,13,Never,Prof-speciality,Female,40,<=50K,cluster1
12482,30,Private,12,Never,Machine-op-inspct,Male,50,<=50K,cluster1
12483,25,Private,12,Never,Adm-clerical,Female,40,<=50K,cluster1
12484,25,Private,13,Married,Exec-managerial,Female,20,<=50K,cluster1
12485,40,Private,13,Never,Adm-clerical,Female,40,<=50K,cluster1
12486,45,Private,13,Never,Other-service,Male,50,<=50K,cluster1
12487,35,Private,13,Never,Other-service,Male,40,<=50K,cluster1
12488,30,Private,13,Never,Prof-speciality,Female,40,<=50K,cluster1
12489,20,Private,12,Never,Adm-clerical,Female,40,<=50K,cluster1
12490,25,Private,13,Never,Prof-speciality,Male,40,<=50K,cluster1
12491,25,Private,13,Never,Sales,Male,40,<=50K,cluster1
12492,25,Private,13,Never,Adm-clerical,Female,40,<=50K,cluster1
12493,25,Private,12,Never,Other-service,Female,40,<=50K,cluster1
12494,35,Private,12,Others,Prof-speciality,Male,40,<=50K,cluster1
12495,25,Private,13,Never,Adm-clerical,Male,30,<=50K,cluster1
12496,25,Govt,13,Never,Prof-speciality,Female,20,<=50K,cluster1
12497,25,Private,13,Married,Adm-clerical,Male,40,<=50K,cluster1
12498,35,Private,13,Never,Sales,Male,40,<=50K,cluster1
12499,25,Private,13,Married,Sales,Male,40,<=50K,cluster1
12500,30,Private,13,Never,Tech-support,Female,40,<=50K,cluster1
12501,25,Private,13,Never,Sales,Female,30,<=50K,cluster1
12502,45,Private,13,Never,Prof-speciality,Female,40,<=50K,cluster1
12503,30,Govt,13,Never,Exec-managerial,Male,40,<=50K,cluster1
12504,20,Private,12,Never,Adm-clerical,Female,40,<=50K,cluster1
12505,25,Private,12,Never,Adm-clerical,Female,40,<=50K,cluster1
12506,25,Private,12,Never,Other-service,Male,40,<=50K,cluster1
12507,30,Private,12,Never,Tech-support,Female,40,<=50K,cluster1
12508,40,Govt,14,Never,Prof-speciality,Female,40,<=50K,cluster1
12509,25,Private,13,Never,Sales,Male,50,<=50K,cluster1
12510,30,Private,12,Never,Prof-speciality,Female,20,<=50K,cluster1
12511,35,Private,13,Never,Prof-speciality,Female,10,<=50K,cluster1
12512,40,Private,13,Never,Exec-managerial,Female,30,<=50K,cluster1
12513,30,Private,13,Never,Adm-clerical,Female,40,<=50K,cluster1
12514,25,Private,13,Never,Sales,Female,20,<=50K,cluster1
12515,35,Private,14,Never,Exec-managerial,Female,40,>50K,cluster1
12516,30,Private,13,Married,Adm-clerical,Female,10,<=50K,cluster1
12517,25,Private,14,Never,Prof-speciality,Female,30,<=50K,cluster1
12518,25,Private,14,Never,Prof-speciality,Female,40,<=50K,cluster1
12519,35,Govt,13,Others,Prof-speciality,Female,40,<=50K,cluster1
12520,25,Private,12,Never,Exec-managerial,Male,20,<=50K,cluster1
12521,45,Govt,13,Never,Exec-managerial,Female,40,<=50K,cluster1
12522,20,Private,13,Never,Adm-clerical,Female,40,<=50K,cluster1
12523,25,Private,13,Never,Sales,Male,20,<=50K,cluster1
12524,35,Govt,13,Others,Prof-speciality,Female,40,<=50K,cluster1
12525,30,Private,15,Never,Prof-speciality,Female,50,<=50K,cluster1
12526,25,Private,13,Never,Adm-clerical,Female,40,<=50K,cluster1
12527,25,Private,13,Others,Handlers-cleaners,Male,40,<=50K,cluster1
12528,35,Private,13,Never,Sales,Female,40,<=50K,cluster1
12529,30,Private,13,Never,Sales,Male,40,<=50K,cluster1
12530,35,Private,13,Married,Adm-clerical,Male,40,<=50K,cluster1
12531,20,Private,12,Never,Adm-clerical,Female,40,<=50K,cluster1
12532,25,Private,13,Never,Exec-managerial,Female,40,<=50K,cluster1
12533,35,Private,12,Never,Tech-support,Female,40,<=50K,cluster1
12534,35,Private,12,Never,Adm-clerical,Female,30,<=50K,cluster1
12535,30,Private,13,Never,Tech-support,Male,40,<=50K,cluster1
12536,25,Private,12,Never,Sales,Male,60,<=50K,cluster1
12537,30,Private,12,Married,Tech-support,Female,40,<=50K,cluster1
12538,20,Private,12,Never,Adm-clerical,Female,10,<=50K,cluster1
12539,35,Private,13,Never,Sales,Male,50,>50K,cluster1
12540,25,Private,13,Never,Exec-managerial,Female,40,<=50K,cluster1
12541,35,Govt,13,Never,Prof-speciality,Male,30,<=50K,cluster1
12542,30,Private,13,Never,Exec-managerial,Male,50,>50K,cluster1
12543,30,Private,13,Married,Adm-clerical,Female,30,>50K,cluster1
12544,25,Private,13,Never,Exec-managerial,Female,40,<=50K,cluster1
12545,30,Govt,12,Never,Craft-repair,Male,10,<=50K,cluster1
12546,25,Private,13,Never,Tech-support,Female,40,<=50K,cluster1
12547,25,Private,13,Never,Other-service,Male,30,<=50K,cluster1
12548,25,Private,13,Never,Prof-speciality,Male,30,<=50K,cluster1
12549,30,SelfEmployed,13,Never,Tech-support,Female,40,<=50K,cluster1
12550,25,Private,13,Others,Prof-speciality,Male,50,<=50K,cluster1
12551,25,Private,13,Never,Machine-op-inspct,Female,40,<=50K,cluster1
12552,30,Govt,12,Never,Exec-managerial,Male,40,<=50K,cluster1
12553,25,Govt,13,Never,Adm-clerical,Female,10,<=50K,cluster1
12554,25,Private,13,Never,Sales,Male,40,<=50K,cluster1
12555,45,SelfEmployed,13,Never,Prof-speciality,Female,50,<=50K,cluster1
12556,25,Private,12,Never,Craft-repair,Male,40,<=50K,cluster1
12557,25,Private,13,Never,Prof-speciality,Female,40,<=50K,cluster1
12558,30,Private,13,Never,Prof-speciality,Male,40,<=50K,cluster1
12559,25,Govt,13,Never,Prof-speciality,Female,40,<=50K,cluster1
12560,30,Private,13,Never,Prof-speciality,Male,50,>50K,cluster1
12561,25,Govt,13,Never,Tech-support,Female,40,<=50K,cluster1
12562,35,Govt,13,Never,Prof-speciality,Female,50,<=50K,cluster1
12563,35,Govt,12,Never,Adm-clerical,Male,50,<=50K,cluster1
12564,30,Private,13,Never,Exec-managerial,Female,50,<=50K,cluster1
12565,25,Private,13,Married,Prof-speciality,Male,50,<=50K,cluster1
12566,40,Private,13,Never,Exec-managerial,Female,40,<=50K,cluster1
12567,40,SelfEmployed,14,Never,Exec-managerial,Female,50,<=50K,cluster1
12568,25,Private,13,Never,Exec-managerial,Male,40,<=50K,cluster1
12569,30,Private,13,Never,Prof-speciality,Female,50,>50K,cluster1
12570,25,Private,13,Never,Prof-speciality,Male,40,<=50K,cluster1
12571,25,Private,13,Never,Adm-clerical,Female,40,<=50K,cluster1
12572,25,Govt,13,Never,Protective-serv,Female,40,<=50K,cluster1
12573,35,Private,13,Others,Sales,Male,40,<=50K,cluster1
12574,35,Private,12,Never,Tech-support,Female,40,<=50K,cluster1
12575,25,Private,13,Never,Other-service,Female,40,<=50K,cluster1
12576,35,Private,13,Others,Exec-managerial,Female,40,<=50K,cluster1
12577,25,Govt,14,Never,Prof-speciality,Female,40,<=50K,cluster1
12578,30,Govt,13,Never,Prof-speciality,Male,20,<=50K,cluster1
12579,30,Private,14,Never,Exec-managerial,Female,40,<=50K,cluster1
12580,25,Private,12,Never,Prof-speciality,Female,40,<=50K,cluster1
12581,30,Private,13,Never,Exec-managerial,Male,50,<=50K,cluster1
12582,40,Private,13,Never,Prof-speciality,Female,40,<=50K,cluster1
12583,35,Private,13,Never,Other-service,Female,30,<=50K,cluster1
12584,20,Private,12,Never,Sales,Female,30,<=50K,cluster1
12585,25,Private,12,Never,Sales,Male,50,<=50K,cluster1
12586,25,Private,13,Never,Sales,Male,40,<=50K,cluster1
12587,25,Private,13,Never,Other-service,Female,20,<=50K,cluster1
12588,30,Private,13,Never,Adm-clerical,Male,50,<=50K,cluster1
12589,30,Private,14,Never,Adm-clerical,Female,40,<=50K,cluster1
12590,30,Govt,13,Never,Adm-clerical,Female,60,<=50K,cluster1
12591,25,Govt,13,Never,Prof-speciality,Female,40,<=50K,cluster1
12592,25,Private,13,Others,Exec-managerial,Female,40,<=50K,cluster1
12593,30,Private,12,Married,Tech-support,Female,40,<=50K,cluster1
12594,35,SelfEmployed,13,Never,Prof-speciality,Male,40,<=50K,cluster1
12595,30,SelfEmployed,13,Others,Exec-managerial,Female,30,<=50K,cluster1
12596,25,Private,13,Never,Adm-clerical,Female,20,<=50K,cluster1
12597,35,Private,12,Never,Other-service,Male,40,<=50K,cluster1
12598,30,Private,12,Never,Tech-support,Male,40,<=50K,cluster1
12599,25,Private,13,Married,Prof-speciality,Male,50,<=50K,cluster1
12600,35,Private,13,Never,Prof-speciality,Female,40,<=50K,cluster1
12601,30,Private,13,Never,Adm-clerical,Female,40,<=50K,cluster1
12602,30,Private,13,Never,Prof-speciality,Female,40,<=50K,cluster1
12603,25,Private,13,Never,Prof-speciality,Male,30,<=50K,cluster1
12604,30,Private,13,Never,Tech-support,Male,40,<=50K,cluster1
12605,25,SelfEmployed,12,Never,Handlers-cleaners,Female,40,<=50K,cluster1
12606,40,Private,12,Never,Exec-managerial,Female,40,<=50K,cluster1
12607,25,Govt,13,Never,Prof-speciality,Female,40,<=50K,cluster1
12608,30,Private,12,Married,Adm-clerical,Female,40,<=50K,cluster1
12609,35,Private,13,Others,Prof-speciality,Female,40,<=50K,cluster1
12610,35,Private,13,Never,Sales,Male,40,<=50K,cluster1
12611,30,Private,13,Never,Prof-speciality,Female,40,>50K,cluster1
12612,25,Private,13,Never,Tech-support,Male,30,<=50K,cluster1
12613,30,Private,13,Never,Prof-speciality,Male,50,<=50K,cluster1
12614,25,Private,13,Never,Adm-clerical,Female,40,<=50K,cluster1
12615,30,Private,12,Never,Tech-support,Male,40,<=50K,cluster1
12616,40,Private,14,Never,Prof-speciality,Female,40,<=50K,cluster1
12617,25,Private,12,Never,Other-service,Female,40,<=50K,cluster1
12618,35,Govt,12,Never,Protective-serv,Male,60,<=50K,cluster1
12619,20,Private,12,Never,Exec-managerial,Male,40,<=50K,cluster1
12620,30,Private,14,Never,Prof-speciality,Male,50,<=50K,cluster1
12621,25,Govt,13,Never,Tech-support,Female,40,<=50K,cluster1
12622,25,Private,14,Never,Prof-speciality,Male,30,<=50K,cluster1
12623,35,Govt,14,Others,Prof-speciality,Female,40,<=50K,cluster1
12624,25,Private,13,Never,Sales,Female,40,<=50K,cluster1
12625,25,Govt,13,Never,Adm-clerical,Male,20,<=50K,cluster1
12626,25,Private,12,Never,Sales,Female,40,<=50K,cluster1
12627,25,Private,13,Never,Prof-speciality,Male,40,<=50K,cluster1
12628,25,SelfEmployed,13,Never,Adm-clerical,Female,30,<=50K,cluster1
12629,25,Private,13,Never,Adm-clerical,Female,20,<=50K,cluster1
12630,25,Private,13,Married,Prof-speciality,Male,30,<=50K,cluster1
12631,30,Govt,13,Others,Prof-speciality,Female,40,<=50K,cluster1
12632,35,Private,14,Never,Exec-managerial,Female,50,<=50K,cluster1
12633,25,Private,13,Never,Exec-managerial,Female,20,<=50K,cluster1
12634,20,Private,12,Never,Exec-managerial,Male,40,<=50K,cluster1
12635,25,Private,13,Never,Tech-support,Female,40,<=50K,cluster1
12636,40,Private,12,Never,Tech-support,Female,40,<=50K,cluster1
12637,25,Private,14,Never,Exec-managerial,Female,40,<=50K,cluster1
12638,30,Private,13,Never,Craft-repair,Male,40,<=50K,cluster1
12639,25,Private,13,Never,Sales,Female,40,<=50K,cluster1
12640,25,Private,13,Never,Sales,Male,50,>50K,cluster1
12641,25,Private,13,Never,Sales,Male,50,<=50K,cluster1
12642,25,Private,13,Never,Craft-repair,Male,30,<=50K,cluster1
12643,30,Private,13,Others,Sales,Female,30,<=50K,cluster1
12644,25,Private,13,Never,Adm-clerical,Male,40,<=50K,cluster1
12645,20,Private,12,Never,Adm-clerical,Female,20,<=50K,cluster1
12646,25,Private,13,Never,Other-service,Male,70,<=50K,cluster1
12647,35,Private,13,Never,Adm-clerical,Male,40,<=50K,cluster1
12648,25,Private,13,Never,Sales,Male,40,>50K,cluster1
12649,25,Private,13,Never,Sales,Male,30,<=50K,cluster1
12650,35,Private,13,Never,Sales,Male,40,<=50K,cluster1
12651,20,Private,13,Never,Exec-managerial,Male,10,<=50K,cluster1
12652,25,SelfEmployed,13,Never,Sales,Male,70,<=50K,cluster1
12653,40,Govt,12,Never,Exec-managerial,Female,50,<=50K,cluster1
12654,25,Govt,13,Never,Prof-speciality,Female,40,<=50K,cluster1
12655,35,Private,14,Never,Exec-managerial,Female,50,<=50K,cluster1
12656,35,Private,13,Never,Prof-speciality,Female,40,>50K,cluster1
12657,30,Private,12,Never,Adm-clerical,Female,40,<=50K,cluster1
12658,35,Private,13,Never,Exec-managerial,Female,40,<=50K,cluster1
12659,35,Private,13,Never,Sales,Female,30,<=50K,cluster1
